.. centered:: **Date**, .. centered:: **Net**,      .. centered:: **Reference**,  .. centered:: **Volume**,      .. centered:: **Â¤**,   .. centered:: **GBP**, .. centered:: **Bal (Â£)**
.. centered:: 2018/04/01, .. centered:: 28, .. centered:: Lease_Debit_2018/04, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2018/04/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/04,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/05/01, .. centered:: 28, .. centered:: Lease_Debit_2018/05, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?	
.. centered:: 2018/05/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/05,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/06/01, .. centered:: 28, .. centered:: Lease_Debit_2018/06, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/06/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/06,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/07/01, .. centered:: 28, .. centered:: Lease_Debit_2018/07, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/07/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/07,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/08/01, .. centered:: 28, .. centered:: Lease_Debit_2018/08, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/08/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/08,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/09/01, .. centered:: 28, .. centered:: Lease_Debit_2018/09, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/09/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/09,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/10/01, .. centered:: 28, .. centered:: Lease_Debit_2018/10, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/10/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/10,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/11/01, .. centered:: 28, .. centered:: Lease_Debit_2018/11, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/11/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/11,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2018/12/01, .. centered:: 28, .. centered:: Lease_Debit_2018/12, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2018/12/28, .. centered:: n/a,.. centered:: Lease_Credit_2018/12,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/01/01, .. centered:: 28, .. centered:: Lease_Debit_2019/01, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?       
.. centered:: 2019/01/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/01,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/02/01, .. centered:: 28, .. centered:: Lease_Debit_2019/02, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/02/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/02,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
.. centered:: 2019/03/01, .. centered:: 28, .. centered:: Lease_Debit_2019/03, .. centered:: -500.00, .. centered:: USD, .. centered:: ?, .. centered:: ?
.. centered:: 2019/03/28, .. centered:: n/a,.. centered:: Lease_Credit_2019/03,.. centered:: ?, .. centered:: ?,.. centered:: ?, .. centered:: ?
