**Annex ID**, **Description**, **PDF**, **SVG**, **PNG**
:ref:`QUO-0011`,  Element/Matrix VPS, `link(34.3kb) <https://wayback.datro.xyz/2021-07-10_consortium_finance-funding_sales8cc_en_quo-0011_v0-0-0.pdf>`__  , `link(54.6kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-07-10_quo-0011_en_v0-0-0.svg>`__  , `link(96.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-07-10_quo-0011_en_v0-0-0.png>`__  
:ref:`QUO-0031`, Hardware (x7 Pi4’s), `link(34.6kb) <https://wayback.datro.xyz/2021-08-30_consortium_finance-funding_sales8cc_en_quo-0031_v0-0-0.pdf>`__  , `link(54.6kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-08-30_quo-0031_en_v0-0-0.svg>`__  , `link(97.8kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-08-30_quo-0031_en_v0-0-0.png>`__  
:ref:`QUO-0041`, Hardware (UpBoards), `link(33.9kb) <https://wayback.datro.xyz/2021-10-18_consortium_finance-funding_sales8cc_en_quo-0041_v0-0-0.pdf>`__  , `link(54.5kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-10-18_quo-0041_en_v0-0-0.svg>`__  , `link(94.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-10-18_quo-0041_en_v0-0-0.png>`__  
:ref:`QUO-0051`,  OS Mandate & Brief, `link(35.1kb) <https://wayback.datro.xyz/2021-11-14_consortium_finance-funding_sales8cc_en_quo-0051_v0-0-0.pdf>`__  , `link(54.6kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-11-14_quo-0052_en_v0-0-0.svg>`__  , `link(96.9kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-11-14_quo-0052_en_v0-0-0.png>`__  
:ref:`QUO-0061`, OS Plan & Execution, `link(34.7kb) <https://wayback.datro.xyz/2021-12-14_consortium_finance-funding_sales8cc_en_quo-0061_v0-0-0.pdf>`__  , `link(54.6kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-12-14_quo-0061_en_v0-0-0.svg>`__  , `link(96.9kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/img/2021-12-14_quo-0061_en_v0-0-0.png>`__  
:ref:`INV-0012`, Element/Matrix(VPS), `link(34.3kb) <https://wayback.datro.xyz/2021-07-10_consortium_finance-funding_sales8cc_en_inv-0012_v0-0-0.pdf>`__  , `link(50.2kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-07-10_inv-0012_en_v0-0-0.svg>`__  , `link(94.1kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-07-10_inv-0012_en_v0-0-0.png>`__ 
:ref:`INV-0032`, Hardware (x7 Pi4’s), `link(35.0kb) <https://wayback.datro.xyz/2021-08-30_consortium_finance-funding_sales8cc_en_inv-0032_v0-0-0.pdf>`__  , `link(50.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-08-30_inv-0032_en_v0-0-0.svg>`__  , `link(96.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-08-30_inv-0042_en_v0-0-0.png>`__ 
:ref:`INV-0042`, Hardware (UpBoards), `link(31.3kb) <https://wayback.datro.xyz/2021-10-18_consortium_finance-funding_sales8cc_en_inv-0042_v0-0-0.pdf>`__  , `link(40.8kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-10-18_inv-0042_en_v0-0-0.svg>`__  , `link(82.8kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-10-18_inv-0042_en_v0-0-0.png>`__ 
:ref:`INV-0052`,  OS Mandate & Brief, `link(34.5kb) <https://wayback.datro.xyz/2021-11-28_consortium_finance-funding_sales8cc_en_inv-0052_v0-0-0.pdf>`__  , `link(50.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-12-28_inv-0052_en_v0-0-0.svg>`__  , `link(95.1kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-11-28_inv-0052_en_v0-0-0.png>`__  
:ref:`INV-0062`, OS Plan & Execution, `link(34.7kb) <https://wayback.datro.xyz/2021-12-28_consortium_finance-funding_sales8cc_en_inv-0062_v0-0-0.pdf>`__  , `link(50.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-12-28_inv-0062_en_v0-0-0.svg>`__  , `link(95.7kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-12-28_inv-0062_en_v0-0-0.png>`__ 
:ref:`RCT-0013`, Element/Matrix(VPS), `link(28.8kb) <https://wayback.datro.xyz/2021-07-19_consortium_finance-funding_sales8cc_en_rct-0013_v0-0-0.pdf>`__  , `link(42.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-07-19_rct-0013_en_v0-0-0.svg>`__  , `link(65.5kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-07-19_rct-0013_en_v0-0-0.png>`__
:ref:`RCT-0023`,HBnB+ Project Deposit,`link(28.7kb) <https://wayback.datro.xyz/2021-08-30_consortium_finance-funding_sales8cc_en_rct-0023_v0-0-0.pdf>`__  , `link(42.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-08-30_rct-0013_en_v0-0-0.svg>`__  , `link(65.8kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-08-30_rct-0013_en_v0-0-0.png>`__
:ref:`RCT-0033`, Hardware (x7 Pi4’s), `link(28.7kb) <https://wayback.datro.xyz/2021-10-04_consortium_finance-funding_sales8cc_en_rct-0033_v0-0-0.pdf>`__  , `link(42.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-10-04_rct-0033_en_v0-0-0.svg>`__  , `link(66.2kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-10-04_rct-0033_en_v0-0-0.png>`__
:ref:`RCT-0043`,    OpenBios Upgrade, `link(28.7kb) <https://wayback.datro.xyz/2021-10-30_consortium_finance-funding_sales8cc_en_rct-0043_v0-0-0.pdf>`__  , `link(42.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-10-30_rct-0043_en_v0-0-0.svg>`__  ,`link(70.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-10-30_rct-0043_en_v0-0-0.png>`__
:ref:`CRE-0034`,Hardware Rebate (Pi’s),`link(29.2kb) <https://wayback.datro.xyz/2021-10-04_consortium_finance-funding_sales8cc_en_rct-0034_v0-0-0.pdf>`__ , `link(42.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-10-04_rct-0034_en_v0-0-0.svg>`__  , `link(66.4kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-10-04_rct-0034_en_v0-0-0.png>`__
:ref:`CRE-0044`,    OpenBios Upgrade, `link(29.6kb) <https://wayback.datro.xyz/2021-11-08_consortium_finance-funding_sales8cc_en_rct-0044_v0-0-0.pdf>`__  , `link(42.3kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/svg/2021-11-08_rct-0044_en_v0-0-0.svg>`__  , `link(71.0kb) <https://library.datro.xyz/consortium_finance/funding_sales8cc/latest/build/html/en/_static/custom/png/2021-11-08_rct-0044_en_v0-0-0.png>`__
